surface,player_id,winner_name,total_serve_points,total_1st_serve_won,total_2nd_serve_won
Clay,205734,"Thiago Seyboth Wild",165,66,35
Clay,133430,"Denis Shapovalov",104,43,27
Clay,106218,"Marcos Giron",73,38,16
Clay,127157,"Daniel Altmaier",204,98,27
Clay,122669,"Juan Pablo Varillas",146,61,41
Grass,207989,"Carlos Alcaraz",760,368,159
Grass,106186,"Jason Kubler",157,69,26
Grass,111797,"Nicolas Jarry",222,124,38
Grass,100644,"Alexander Zverev",211,117,41
Grass,126610,"Matteo Berrettini",335,186,66
Grass,200282,"Alex De Minaur",124,51,38
Grass,126207,"Frances Tiafoe",222,104,43
Grass,208502,"Dominic Stricker",144,68,30
Grass,105777,"Grigor Dimitrov",224,115,49
Grass,200221,"Alejandro Davidovich Fokina",213,103,39
Grass,122298,"Botic Van De Zandschulp",152,73,25
Grass,106148,"Roberto Carballes Baena",128,53,34
Grass,208029,"Holger Rune",494,243,98
Grass,106421,"Daniil Medvedev",483,263,76
Grass,105173,"Adrian Mannarino",80,39,16
Grass,105916,"Marton Fucsovics",93,36,25
Grass,202103,"Francisco Cerundolo",123,60,22
Grass,208103,"Jiri Lehecka",322,172,66
Grass,126205,"Tommy Paul",217,96,56
Grass,111815,"Cameron Norrie",115,57,17
Grass,111153,"Christopher Eubanks",485,273,80
Grass,106210,"Jiri Vesely",146,75,25
Grass,111513,"Laslo Djere",319,161,64
Grass,104918,"Andy Murray",73,35,16
Grass,126774,"Stefanos Tsitsipas",428,235,85
Grass,206173,"Jannik Sinner",415,195,118
Grass,111460,"Quentin Halys",134,60,35
Grass,123755,"Daniel Elahi Galan",87,41,17
Grass,126203,"Taylor Fritz",144,72,25
Grass,105550,"Guido Pella",160,80,25
Grass,126128,"Roman Safiullin",457,227,92
Grass,134770,"Casper Ruud",107,52,25
Grass,126094,"Andrey Rublev",534,266,110
Grass,106234,"Aslan Karatsev",135,55,34
Grass,144642,"Tomas Barrios Vera",134,70,23
Grass,122330,"Alexander Bublik",279,155,55
Grass,111581,"Michael Mmoh",146,85,22
Grass,207518,"Lorenzo Musetti",192,93,36
Grass,128034,"Hubert Hurkacz",263,146,53
Grass,144869,"Tomas Martin Etcheverry",205,100,31
Grass,104527,"Stan Wawrinka",212,106,44
Grass,104925,"Novak Djokovic",610,325,134
Grass,144707,"Mikael Ymer",145,66,25
Grass,106281,"Liam Broady",127,50,36
Hard,106218,"Marcos Giron",98,37,24
Hard,104792,"Gael Monfils",309,127,84
Hard,126846,"Aleksandar Vukic",146,76,30
Hard,207518,"Lorenzo Musetti",206,90,55
Hard,126845,"Max Purcell",256,113,71
Hard,105683,"Milos Raonic",122,61,29
Hard,209113,"Gabriel Diallo",69,34,14
Hard,208286,"Matteo Arnaldi",532,236,114
Hard,106432,"Borna Coric",68,29,15
Hard,209950,"Arthur Fils",279,139,45
Hard,106331,"Christopher Oconnell",131,65,22
Hard,126610,"Matteo Berrettini",88,40,20
Hard,124116,"Sebastian Ofner",234,110,42
Hard,126128,"Roman Safiullin",307,150,57
Hard,106233,"Dominic Thiem",181,76,41
Hard,106234,"Aslan Karatsev",214,94,49
Hard,106148,"Roberto Carballes Baena",101,41,30
Hard,208502,"Dominic Stricker",282,121,74
Hard,208169,"Titouan Droguet",153,59,35
Hard,111190,"Zhizhen Zhang",208,105,37
Hard,126127,"Benjamin Bonzi",121,61,26
Hard,127339,"Borna Gojo",84,38,21
Hard,106210,"Jiri Vesely",156,71,29
Hard,206681,"Fabian Marozsan",178,91,27
Hard,106043,"Diego Schwartzman",173,82,32
Hard,200318,"Yu Hsiou Hsu",168,70,30
Hard,206909,"Brandon Nakashima",44,26,5
Hard,208014,"Rinky Hijikata",96,48,16
Hard,202358,"Chun Hsin Tseng",79,36,16
Hard,122330,"Alexander Bublik",135,70,31
Hard,127157,"Daniel Altmaier",49,28,8
